# frame_id tx ty tz qx qy qz qw
1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
4 -0.021676 -0.009576 0.012450 0.005209 -0.017869 -0.020147 0.999624
7 -0.043184 -0.027576 0.035699 0.011568 -0.038645 -0.038598 0.998440
10 -0.076042 -0.029657 0.049080 0.010772 -0.076578 -0.061290 0.995120
13 -0.101813 -0.043672 0.069765 0.014685 -0.123171 -0.092048 0.987998
16 -0.120498 -0.044997 0.075685 0.021740 -0.159068 -0.114114 0.980409
19 -0.140489 -0.054791 0.089040 0.026240 -0.185905 -0.134795 0.972924
22 -0.169567 -0.056479 0.095601 0.036830 -0.202941 -0.141777 0.968172
25 -0.182796 -0.060977 0.113215 0.043406 -0.238247 -0.140430 0.960018
28 -0.189102 -0.063976 0.128219 0.054403 -0.275445 -0.155808 0.947045
31 -0.205520 -0.063800 0.138982 0.053620 -0.298770 -0.181684 0.935335
34 -0.222857 -0.058631 0.149465 0.044265 -0.317286 -0.202763 0.925342
37 -0.241795 -0.047487 0.159238 0.026791 -0.351782 -0.215186 0.910619
40 -0.244213 -0.049150 0.180696 0.000423 -0.396377 -0.224872 0.890122
43 -0.248577 -0.048952 0.190064 -0.000235 -0.415044 -0.248675 0.875157
46 -0.250441 -0.055862 0.191973 0.011588 -0.422430 -0.280735 0.861746
49 -0.247863 -0.064986 0.188115 0.036954 -0.433568 -0.285217 0.853993
52 -0.246452 -0.064967 0.176212 0.043646 -0.451004 -0.299908 0.839491
55 -0.240589 -0.065635 0.180262 0.034422 -0.466102 -0.311808 0.827248
58 -0.234468 -0.066553 0.188043 0.025950 -0.480104 -0.317554 0.817305
61 -0.232958 -0.065301 0.194005 0.022804 -0.498910 -0.336622 0.798282
64 -0.228627 -0.064773 0.199922 0.025358 -0.494161 -0.345662 0.797295
67 -0.222667 -0.067968 0.201931 0.034540 -0.482674 -0.344545 0.804439
70 -0.212522 -0.075757 0.202772 0.045248 -0.476032 -0.336138 0.811392
73 -0.194470 -0.086934 0.213048 0.048962 -0.456954 -0.307159 0.833336
76 -0.176184 -0.089091 0.220271 0.049311 -0.425818 -0.262076 0.864618
79 -0.154886 -0.087282 0.229369 0.052727 -0.387517 -0.220503 0.893549
82 -0.131829 -0.086058 0.233620 0.062811 -0.337483 -0.189196 0.919981
85 -0.111072 -0.080616 0.224702 0.063585 -0.260666 -0.139894 0.953121
88 -0.093619 -0.080418 0.201143 0.063127 -0.187214 -0.101293 0.975041
91 -0.069817 -0.072302 0.176827 0.044581 -0.116786 -0.056943 0.990521
94 -0.040569 -0.062067 0.157188 0.025627 -0.062174 -0.012276 0.997661
97 -0.010376 -0.052170 0.130596 0.018090 -0.017302 0.031319 0.999196
100 0.025738 -0.028668 0.095674 0.019439 0.022146 0.071920 0.996975
103 0.063663 -0.011291 0.066173 0.019573 0.058810 0.100497 0.993005
106 0.112095 0.008463 0.031491 0.034553 0.096132 0.114460 0.988162
109 0.155036 0.058717 -0.007338 0.043149 0.116611 0.111454 0.985960
112 0.209964 0.076789 -0.034401 0.026648 0.113327 0.110496 0.987035
115 0.260480 0.097882 -0.064963 0.015391 0.119610 0.099607 0.987692
118 0.301475 0.126192 -0.096973 0.000456 0.132015 0.086985 0.987424
121 0.348944 0.146585 -0.124311 -0.007016 0.144558 0.081342 0.986122
124 0.393655 0.153638 -0.140837 -0.016827 0.138948 0.077020 0.987157
127 0.444225 0.161696 -0.164291 -0.011364 0.119615 0.069567 0.990315
130 0.496203 0.177807 -0.189678 -0.006816 0.107402 0.066605 0.991959
133 0.555873 0.183566 -0.211384 0.001034 0.096945 0.044653 0.994287
136 0.604477 0.194417 -0.232630 0.013687 0.083957 0.014779 0.996266
139 0.654425 0.193324 -0.245633 0.013917 0.052320 -0.004837 0.998522
142 0.711147 0.184174 -0.256695 0.012053 0.016595 -0.036860 0.999110
145 0.769138 0.173518 -0.268128 0.005136 -0.021814 -0.075919 0.996862
148 0.825838 0.162530 -0.278391 0.006975 -0.025426 -0.105335 0.994087
151 0.859941 0.167167 -0.287742 0.008805 -0.046573 -0.117927 0.991890
154 0.914645 0.153549 -0.281759 0.000846 -0.097763 -0.140319 0.985268
157 0.967905 0.137457 -0.270345 -0.011306 -0.132373 -0.165485 0.977223
160 1.009096 0.105677 -0.257580 -0.012127 -0.148772 -0.191801 0.970017
163 1.045950 0.103895 -0.270972 0.053267 -0.186012 -0.200371 0.960424
166 1.105636 0.094752 -0.274440 0.087166 -0.235682 -0.214799 0.943778
169 1.158825 0.079625 -0.281033 0.138286 -0.253558 -0.235768 0.927900
172 1.202941 0.067806 -0.298544 0.186677 -0.254608 -0.233390 0.919704
175 1.229527 0.061080 -0.309576 0.222134 -0.286744 -0.222319 0.904991
178 1.267733 0.036887 -0.301510 0.241365 -0.324905 -0.222925 0.886840
181 1.298897 0.018769 -0.277582 0.265404 -0.350936 -0.219794 0.870686
184 1.323343 -0.004154 -0.259574 0.286367 -0.377175 -0.209520 0.855473
187 1.342221 -0.029391 -0.237536 0.307490 -0.404230 -0.198073 0.838340
190 1.339034 -0.054509 -0.246448 0.339259 -0.422277 -0.184844 0.820011
193 1.371217 -0.074244 -0.215721 0.389778 -0.435664 -0.178902 0.791369
196 1.394769 -0.086840 -0.210404 0.425796 -0.443516 -0.160255 0.772211
199 1.399780 -0.120972 -0.257742 0.426661 -0.452794 -0.153617 0.767684
202 1.401959 -0.100065 -0.197595 0.414257 -0.456519 -0.158847 0.771200
205 1.429676 -0.159188 -0.145658 0.370613 -0.458427 -0.186940 0.785840
208 1.454222 -0.201278 -0.098198 0.329730 -0.464995 -0.212059 0.793782
211 1.492467 -0.218031 -0.026802 0.287703 -0.479156 -0.226514 0.797702
214 1.525782 -0.271668 0.021829 0.223763 -0.487693 -0.249341 0.806173
217 1.535219 -0.304567 0.050523 0.164043 -0.480199 -0.276858 0.815995
220 1.550292 -0.327778 0.082383 0.116555 -0.473428 -0.310925 0.815847
223 1.574386 -0.353602 0.119724 0.084662 -0.476460 -0.342077 0.805482
226 1.603524 -0.370612 0.161628 0.059061 -0.465731 -0.367000 0.803068
229 1.627887 -0.400856 0.212825 0.030301 -0.448037 -0.401664 0.798129
232 1.652583 -0.428718 0.267104 0.003021 -0.422097 -0.429038 0.798593
235 1.676126 -0.462249 0.321262 -0.009043 -0.399948 -0.444501 0.801486
238 1.692448 -0.501966 0.367616 -0.021523 -0.389245 -0.457768 0.799045
241 1.713715 -0.564428 0.422380 -0.033478 -0.396994 -0.473090 0.785787
244 1.715973 -0.601927 0.445058 -0.012519 -0.390480 -0.507940 0.767701
247 1.727532 -0.637231 0.474370 0.004594 -0.411058 -0.538283 0.735705
250 1.737667 -0.668117 0.510277 0.010661 -0.439111 -0.561426 0.701334
253 1.739679 -0.700204 0.550860 0.009654 -0.462288 -0.582316 0.668659
256 1.747860 -0.727872 0.584282 0.010125 -0.490533 -0.605408 0.626703
259 1.758917 -0.760544 0.620621 0.007759 -0.523430 -0.618425 0.586099
262 1.773568 -0.803972 0.655789 -0.002182 -0.548122 -0.629576 0.550628
265 1.784826 -0.848320 0.676402 0.001790 -0.555625 -0.636185 0.535301
268 1.794938 -0.897478 0.695330 0.007948 -0.575638 -0.628911 0.522541
271 1.795876 -0.946957 0.723083 0.019580 -0.594708 -0.612947 0.519841
274 1.789349 -0.978163 0.746117 -0.000232 -0.626904 -0.594837 0.503150
277 1.759034 -1.008383 0.769586 0.017199 0.651777 0.578183 -0.490505
280 1.727439 -1.025517 0.791564 0.036316 0.677902 0.559334 -0.475684
283 1.695662 -1.038089 0.829554 0.041818 0.700876 0.548921 -0.453553
286 1.652786 -1.049038 0.860487 0.030489 0.697009 0.546559 -0.463166
289 1.615281 -1.061223 0.887328 -0.015416 -0.683978 -0.528604 0.502507
292 1.587093 -1.067645 0.897781 0.004841 -0.666097 -0.507817 0.546272
295 1.565279 -1.077751 0.901038 0.024336 -0.659152 -0.489725 0.570172
298 1.542866 -1.095819 0.914726 0.042408 -0.653314 -0.469532 0.592387
301 1.532307 -1.114777 0.922744 0.070060 -0.623833 -0.440922 0.641492
304 1.515667 -1.128887 0.925977 0.094559 -0.599355 -0.416508 0.677018
307 1.504437 -1.155758 0.941971 0.105682 -0.575566 -0.389812 0.711057
310 1.488470 -1.176459 0.945595 0.118138 -0.544449 -0.377343 0.739751
313 1.489517 -1.190430 0.952993 0.121870 -0.513110 -0.374318 0.762727
316 1.461278 -1.210505 0.978999 0.137038 -0.486291 -0.372922 0.778249
319 1.443107 -1.226504 0.971221 0.140588 -0.468499 -0.362098 0.793491
322 1.448021 -1.246998 0.984682 0.143676 -0.453232 -0.344453 0.809500
325 1.456455 -1.262736 1.014627 0.156309 -0.429764 -0.322337 0.828836
328 1.457165 -1.290421 1.008127 0.160715 -0.388205 -0.303130 0.855324
331 1.471424 -1.317580 1.034947 0.167998 -0.339371 -0.282040 0.881508
334 1.447642 -1.331917 1.039201 0.161291 -0.303628 -0.268048 0.899970
337 1.437714 -1.337593 1.059124 0.158519 -0.276150 -0.254683 0.913099
340 1.426019 -1.354644 1.067798 0.152565 -0.238969 -0.236575 0.929328
343 1.407746 -1.353808 1.073219 0.149734 -0.208594 -0.219445 0.941229
346 1.393431 -1.357186 1.075515 0.144346 -0.179605 -0.208835 0.950418
349 1.388694 -1.360867 1.081980 0.133423 -0.148861 -0.205418 0.958041
352 1.373956 -1.358014 1.087443 0.120399 -0.118271 -0.200263 0.965096
355 1.367356 -1.345956 1.097114 0.112035 -0.095846 -0.193678 0.969923
358 1.360728 -1.335645 1.104993 0.106699 -0.069732 -0.191449 0.973191
361 1.356699 -1.321075 1.113703 0.113585 -0.042072 -0.176937 0.976740
364 1.360016 -1.317910 1.113083 0.123011 -0.017675 -0.159067 0.979415
367 1.363217 -1.310546 1.110978 0.130824 0.002913 -0.143344 0.980984
370 1.374457 -1.307400 1.111961 0.130041 0.014598 -0.130251 0.982808
373 1.391661 -1.311461 1.113083 0.131500 0.029290 -0.121365 0.983423
376 1.408935 -1.304907 1.101076 0.144619 0.051034 -0.109822 0.982049
379 1.426635 -1.300849 1.098606 0.140411 0.068511 -0.087373 0.983848
382 1.447010 -1.300554 1.089744 0.130252 0.089563 -0.062512 0.985447
385 1.457492 -1.302976 1.078896 0.144214 0.104361 -0.044372 0.983027
388 1.487656 -1.288640 1.052632 0.154551 0.106046 -0.026302 0.981925
391 1.514618 -1.271818 1.019780 0.160338 0.110662 -0.017217 0.980688
394 1.535028 -1.250153 0.993182 0.166213 0.117872 -0.017781 0.978858
397 1.552982 -1.224079 0.961665 0.170264 0.128045 -0.033830 0.976458
400 1.574943 -1.195271 0.932550 0.174646 0.139923 -0.034661 0.974022
403 1.597311 -1.168009 0.902777 0.169752 0.142423 -0.035096 0.974509
406 1.616964 -1.147051 0.881380 0.167211 0.132907 -0.044700 0.975899
409 1.638052 -1.121616 0.855775 0.163424 0.122218 -0.047475 0.977805
412 1.651417 -1.098078 0.831631 0.161803 0.106142 -0.055556 0.979524
415 1.658956 -1.076293 0.813468 0.170877 0.079068 -0.062771 0.980107
418 1.666507 -1.053448 0.786128 0.188503 0.059444 -0.064605 0.978141
421 1.687402 -1.028377 0.759948 0.202498 0.046260 -0.068680 0.975775
424 1.702220 -1.001997 0.733961 0.203600 0.048627 -0.067304 0.975527
427 1.709963 -0.976602 0.729020 0.199645 0.039564 -0.072737 0.976364
430 1.715021 -0.949722 0.709081 0.210388 0.034232 -0.081195 0.973639
433 1.719456 -0.923813 0.692793 0.203748 0.028563 -0.079256 0.975392
436 1.724657 -0.896614 0.678540 0.201934 0.018268 -0.089477 0.975132
439 1.728376 -0.866580 0.665797 0.191276 0.017083 -0.104256 0.975834
442 1.736353 -0.844649 0.656011 0.191596 0.016931 -0.116400 0.974400
445 1.750359 -0.814539 0.637040 0.207381 0.033587 -0.105043 0.972024
448 1.773508 -0.782009 0.614742 0.209012 0.047964 -0.089146 0.972660
451 1.797582 -0.759781 0.600574 0.199968 0.048886 -0.083691 0.974997
454 1.818673 -0.739241 0.589236 0.176769 0.065075 -0.074597 0.979261
457 1.844266 -0.714419 0.576613 0.154605 0.077735 -0.056377 0.983299
460 1.868530 -0.692827 0.559882 0.138947 0.081985 -0.041160 0.986042
463 1.892054 -0.663276 0.535050 0.131500 0.097837 -0.034967 0.985856
466 1.917508 -0.636063 0.507017 0.128746 0.116023 -0.026345 0.984515
469 1.932961 -0.611302 0.478330 0.128176 0.144972 -0.016074 0.980967
472 1.952780 -0.588299 0.440662 0.128955 0.168531 0.000390 0.977224
475 1.962506 -0.567227 0.407805 0.136398 0.194467 0.023859 0.971086
478 1.966378 -0.549160 0.377933 0.138403 0.217148 0.055083 0.964706
481 1.970136 -0.521934 0.349105 0.139434 0.252054 0.078383 0.954402
484 1.972248 -0.479065 0.333121 0.142885 0.294073 0.117355 0.937728
487 2.001846 -0.448040 0.296476 0.137236 0.337187 0.165276 0.916600
490 2.002395 -0.416763 0.290235 0.126407 0.383391 0.209018 0.890698
493 2.007317 -0.378905 0.281605 0.112703 0.413259 0.249693 0.868429
496 2.021431 -0.365774 0.276623 0.078828 0.425196 0.284978 0.855443
499 2.027662 -0.322447 0.270753 0.061436 0.434754 0.316092 0.841012
502 2.036376 -0.275576 0.260193 0.047100 0.441993 0.339856 0.828808
505 2.037413 -0.222500 0.256487 0.037454 0.443848 0.346512 0.825546
508 2.053057 -0.192196 0.248274 0.015307 0.434196 0.339604 0.834211
511 2.063590 -0.166002 0.240694 -0.006029 0.426125 0.319887 0.846200
514 2.074915 -0.139079 0.231323 -0.015979 0.423732 0.312820 0.849906
517 2.093477 -0.109850 0.212724 -0.018807 0.423411 0.310336 0.850918
520 2.113945 -0.080446 0.181584 -0.023966 0.422112 0.313431 0.850299
523 2.139891 -0.039333 0.149948 -0.026990 0.423635 0.316679 0.848245
526 2.158825 -0.016592 0.119351 -0.032432 0.439159 0.324897 0.836976
529 2.166724 0.009097 0.097211 -0.027014 0.456497 0.341545 0.821114
532 2.173014 0.027583 0.076564 -0.012011 0.484415 0.369740 0.792774
535 2.167366 0.046366 0.056185 0.015924 0.516398 0.396271 0.758978
538 2.152544 0.070407 0.034600 0.048252 0.555362 0.402672 0.726016
541 2.136361 0.072201 0.009366 0.075340 0.590991 0.398614 0.697252
544 2.111302 0.070011 -0.004298 0.106968 0.625372 0.388675 0.668131
547 2.095563 0.052833 -0.013598 0.138037 0.661963 0.372478 0.635618
550 2.082000 0.029824 -0.031006 0.161919 0.700934 0.352912 0.598270
553 2.057246 0.007015 -0.053126 0.186842 0.736996 0.333744 0.557263
556 2.028567 -0.021437 -0.071139 0.217858 0.765561 0.319992 0.513867
559 1.999449 -0.055934 -0.093406 0.244032 0.787075 0.307392 0.475890
562 1.972771 -0.083743 -0.100727 0.269277 0.799341 0.292929 0.450264
565 1.951171 -0.116042 -0.097847 0.288296 0.811602 0.276469 0.426324
568 1.924862 -0.139384 -0.088608 0.301240 0.824977 0.250770 0.407164
571 1.900475 -0.150755 -0.074520 0.315682 0.831684 0.223897 0.398141
574 1.878015 -0.168886 -0.067608 0.330522 0.831815 0.199566 0.398763
577 1.870604 -0.212628 -0.059095 0.335886 0.835219 0.187013 0.393213
580 1.855659 -0.222216 -0.059281 0.339574 0.837857 0.192443 0.381643
583 1.843152 -0.223417 -0.054825 0.330231 0.843238 0.205685 0.370933
586 1.832244 -0.216863 -0.054029 0.312009 0.854143 0.225867 0.349391
589 1.819391 -0.185500 -0.048337 0.292506 0.863010 0.250315 0.327104
592 1.808179 -0.156439 -0.033505 0.274846 0.866981 0.280486 0.306808
595 1.802375 -0.137234 -0.038014 0.256889 0.862287 0.318671 0.298193
598 1.814308 -0.109681 -0.023537 0.234166 0.855815 0.354499 0.295088
601 1.817057 -0.085866 -0.007641 0.220033 0.840446 0.387926 0.307814
604 1.808856 -0.051540 0.007153 0.207486 0.829482 0.412425 0.314349
607 1.798847 -0.030114 0.012410 0.193846 0.816992 0.441711 0.315972
610 1.792481 -0.006319 0.018867 0.176421 0.801392 0.476134 0.316137
613 1.786633 0.021061 0.022891 0.161485 0.785737 0.512613 0.306214
